layer, H, W, C, R, S, K, padding, stride, conv?, N, P, Q
'features.0',32,32,3,3,3,64,1,1,1,1024,32,32
'features.3',32,32,64,3,3,64,1,1,1,1024,32,32
'features.7',16,16,64,3,3,128,1,1,1,1024,16,16
'features.10',16,16,128,3,3,128,1,1,1,1024,16,16
'features.14',8,8,128,3,3,256,1,1,1,1024,8,8
'features.17',8,8,256,3,3,256,1,1,1,1024,8,8
'features.20',8,8,256,3,3,256,1,1,1,1024,8,8
'features.24',4,4,256,3,3,512,1,1,1,1024,4,4
'features.27',4,4,512,3,3,512,1,1,1,1024,4,4
'features.30',4,4,512,3,3,512,1,1,1,1024,4,4
'features.34',2,2,512,3,3,512,1,1,1,1024,2,2
'features.37',2,2,512,3,3,512,1,1,1,1024,2,2
'features.40',2,2,512,3,3,512,1,1,1,1024,2,2
'classifier.0',1,1,25088,1,1,4096,1,1,0,1024,1,1
'classifier.3',1,1,4096,1,1,4096,1,1,0,1024,1,1
'classifier.6',1,1,4096,1,1,1000,1,1,0,1024,1,1
'features.0',32,32,64,3,3,3,1,1,1,1024,32,32
'features.3',32,32,64,3,3,64,1,1,1,1024,32,32
'features.7',16,16,128,3,3,64,1,1,1,1024,16,16
'features.10',16,16,128,3,3,128,1,1,1,1024,16,16
'features.14',8,8,256,3,3,128,1,1,1,1024,8,8
'features.17',8,8,256,3,3,256,1,1,1,1024,8,8
'features.20',8,8,256,3,3,256,1,1,1,1024,8,8
'features.24',4,4,512,3,3,256,1,1,1,1024,4,4
'features.27',4,4,512,3,3,512,1,1,1,1024,4,4
'features.30',4,4,512,3,3,512,1,1,1,1024,4,4
'features.34',2,2,512,3,3,512,1,1,1,1024,2,2
'features.37',2,2,512,3,3,512,1,1,1,1024,2,2
'features.40',2,2,512,3,3,512,1,1,1,1024,2,2
'classifier.0',1,1,4096,1,1,25088,1,1,0,1024,1,1
'classifier.3',1,1,4096,1,1,4096,1,1,0,1024,1,1
'classifier.6',1,1,1000,1,1,4096,1,1,0,1024,1,1
'features.0',32,32,1024,32,32,64,1,1,1,3,3,3
'features.3',32,32,1024,32,32,64,1,1,1,64,3,3
'features.7',16,16,1024,16,16,128,1,1,1,64,3,3
'features.10',16,16,1024,16,16,128,1,1,1,128,3,3
'features.14',8,8,1024,8,8,256,1,1,1,128,3,3
'features.17',8,8,1024,8,8,256,1,1,1,256,3,3
'features.20',8,8,1024,8,8,256,1,1,1,256,3,3
'features.24',4,4,1024,4,4,512,1,1,1,256,3,3
'features.27',4,4,1024,4,4,512,1,1,1,512,3,3
'features.30',4,4,1024,4,4,512,1,1,1,512,3,3
'features.34',2,2,1024,2,2,512,1,1,1,512,3,3
'features.37',2,2,1024,2,2,512,1,1,1,512,3,3
'features.40',2,2,1024,2,2,512,1,1,1,512,3,3
'classifier.0',1,1,1024,1,1,25088,1,1,0,4096,1,1
'classifier.3',1,1,1024,1,1,4096,1,1,0,4096,1,1
'classifier.6',1,1,1024,1,1,4096,1,1,0,1000,1,1
